word,count
the,37422
to,22907
a,20269
and,19803
i,19069
of,18083
you,17863
is,16779
in,12890
that,12650
it,9238
this,8331
not,8198
for,6901
on,6758
be,6427
are,6148
as,5997
have,5476
your,5046
with,4974
ass,4897
was,4789
my,4392
or,3966
an,3887
faggot,3836
he,3763
but,3707
if,3703
me,3675
by,3670
article,3320
page,3272
from,3254
all,3186
what,3071
do,3047
about,3001
so,2849
at,2716
wikipedia,2679
can,2657
has,2642
will,2602
fuck,2588
no,2512
they,2500
his,2498
like,2483
who,2470
am,2465
just,2303
dont,2167
its,2138
there,2099
one,2053
been,1953
would,1946
which,1922
die,1905
people,1900
other,1760
because,1734
any,1713
some,1693
should,1680
here,1662
fat,1658
please,1656
we,1633
also,1546
more,1540
when,1528
go,1483
talk,1466
see,1441
out,1437
why,1420
being,1417
im,1413
know,1412
up,1412
think,1411
only,1402
were,1402
get,1396
how,1393
their,1374
then,1362
edit,1311
jew,1299
fag,1296
even,1286
did,1238
them,1204
him,1190
now,1189
had,1188
than,1157
homo,1147
such,1099
time,1056
sexual,1041
huge,1001
user,993
make,984
block,972
said,966
yourself,942
these,937
very,931
articles,930
does,923
spamrofl,916
stop,915
off,903
say,895
information,884
blocked,883
well,880
may,866
way,854
made,850
gay,849
use,845
want,827
again,826
many,825
good,814
vandalism,805
right,794
really,792
personal,790
edits,786
fucking,786
could,769
someone,763
same,757
her,756
over,752
sources,741
editing,734
those,732
since,729
need,726
first,722
own,721
against,711
she,700
much,699
editors,695
section,692
where,683
most,682
cant,682
name,677
into,672
fact,670
take,662
back,657
youre,655
never,639
going,639
before,630
too,628
person,626
after,626
point,625
fucksex,624
bitchfuck,623
discussion,620
without,618
source,616
read,612
still,609
dickhead,592
something,588
pages,587
comment,586
history,585
thats,579
used,578
look,577
new,577
two,570
oxymoron,570
another,563
bunksteve,556
nothing,553
doesnt,537
ive,535
find,533
reason,530
moron,526
anything,525
us,520
others,518
didnt,518
work,517
deleted,516
comments,503
shall,501
while,496
wiki,493
removed,490
anyone,490
actually,488
bastard,479
thing,473
editor,473
put,472
little,471
cunt,468
case,466
wrong,461
users,460
deletion,459
penis,458
yet,457
believe,455
our,453
considered,448
come,446
done,445
trying,442
give,441
called,439
shit,433
banned,432
sure,431
better,429
word,429
added,429
things,428
admin,422
content,421
attack,420
above,419
help,419
part,417
under,417
says,416
suck,415
problem,415
might,412
both,410
must,409
every,407
making,405
world,404
down,403
proassadhanibal911youre,402
ever,402
add,402
attacks,399
